Row Labels,‘jaculum’_spp.,Agomonas_spp.,Blastocrithidia_spp.,Crithidia_bombi,Crithidia_expoeki,C.mellificae/L.passim,Crithidia_mexicana,Herpetomonas_spp,monoxenous_spp.,Crithidia_spp.,fish_trypanosomes,Leishmania_amazonensis,Leishmania_braziliensis,Leishmania_donovani,Leishmania_guyanensis,Leishmania_infantum,Leishmania_major,Leishmania_mexicana,Leishmania_spp.,Leishmania_tropica,Leptomonas_spp.,Lotmaria_passim,Phytomonas_spp.,Trypanosoma_avium,Trypanosoma_brucei,Trypanosoma_congolense,Trypanosoma_copemani,Trypanosoma_cruzi,Trypanosoma_culicavium,Trypanosoma_dionisii,Trypanosoma_equiperdum,Trypanosoma_evansi,Trypanosoma_everetti,Trypanosoma_evotomys,Trypanosoma_gilletti,Trypanosoma_godfreyi,Trypanosoma_lewisi,Trypanosoma_noyesi,Trypanosoma_rangeli,Trypanosoma_simiae,Trypanosoma_spp.,Trypanosoma_theileri,Trypanosoma_tungarae,Trypanosoma_vegrandis,Trypanosoma_vivax,Trypanosomatidae_spp.,Trypanozoon
animals,,,,,,,,,,,,,,0.052628821,,0.051778013,,,0.969889943,,,,,,,0.005640309,0.127087427,0.038721664,,,,0.073102268,,,0.026971751,,,0.03474831,,,,0.014659275,0.276937188,0.175101582,0.151278913,0.379130028,0
bats,,,0.028178083,,,0.004400632,,,,,,,,,,,,0.092308091,,,,,,,,,,0.026807893,,0.073081919,,,,,,,,,,,,,,,,,
bees,,,,0.27804623,0.02532116,0.25692923,0.1266661,,,0.14544465,,,,,,,,,,,,0.27689686,,,,,,,,,,,,,,,,,,,,,,,,,
birds,,,,,,,,,,,,,,,,,,,,,,,,0.005756521,,,,,,,,,,,,,,,,,0.045744213,,,,,,
camels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159191,,,,,,,,,,,,,0.03996586,,0.24038445
cats,,,,,,,,,,,,,,,,0.08641451,,,0.12896675,0.11108942,,,,,,,,0.11767146,,,,,,,,,,,,,,,,,,,
cattle,,,,,,,,,,,,,,,,,,,,,,,,,0.007916381,0.055993201,,,,,,0.09383431,,,,,,,,0.010397179,,0.195658967,,,0.067248809,,0.21323424
dogs,,,,,,,,,,,,,0.174793173,,,0.157460292,0.142829253,0.339749434,0.1226247,0.000329215,,,,,,0.067108542,,0.199467739,,,,,,,,,,,,,,,,,,,
equids,,,,,,,,,,,,,,,,,,,,,,,,,0.03874788,0.01044737,,,,,0.04257591,0.047641,,,,,,,,0.03615402,,,,,0.02680228,,
fish,,,,,,,,,,,0.4430669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fleas,,,,,,,,,,,,,,,,,,,,,0.03412759,,,,,,,,,,,,,,,,,,,,,,,,,0.14908639,
flies,,0.008834775,,,,,,0.023811209,,,,0.003014217,0.016770341,0.072003563,0.062167334,0.090748712,0.036343721,,0.042599061,0.017382259,,,,,0.034278054,0.06029323,,,0.00043103,,,,,,,0.027935663,,,,0.04010861,0.080412758,,,,0.073535651,0.111769213,0.00082127
goats,,,,,,,,,,,,,,,,,,,,,,,,,0.07575287,0.10555775,,,,,,0.05432028,,,,,,,,,,,,,0.04524018,,
pigs,,,,,,,,,,,,,,,,,,,,,,,,,0.22416887,0.10341119,,0.06411766,,,,,,,,,,,,0.06933856,0.10182559,,,,0.25579741,,0.16594642
rodents,,,,,,,,,,,,,,,,,0.055517029,,0.181336781,,,,,,,,,0.008871204,,,,,,0.145343565,,,0.234922443,,,,0.116363393,,,,,,
Sheep,,,,,,,,,,,,,,,,,,,,,,,,,0.037068993,0.133455753,,0.007492546,,,,0.049861535,,,,,,,,,0.034980049,,,,0.024034634,,
truebugs,0.34112743,,0.08289656,,,,,,0.38160435,,,,,,,,,,,,0.11024099,,0.1077544,,,,,0.1168924,,,,,,,,,,,0.03472957,,,,,,,0.08286814,
raccoons,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3011,,,,,,,,,,,,,,,,,,,
buffaloes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1899,,,,,,,,,,,,,,,